file,line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,area,confianza,fuente,veredicto
europa_occidental.csv,15,Londres,St Paul's Cathedral,St Paul's Cathedral,Iglesia,51.513787,-0.098451,51.513787,-0.098451,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,17,Londres,Temple Church,Temple Church,Iglesia,51.513257,-0.110224,51.513257,-0.110224,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,21,Londres,Buckingham Palace,Buckingham Palace,Sitio histórico,51.500835,-0.143005,51.500835,-0.143005,0,200,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,22,Londres,Kensington Palace,Kensington Palace,Sitio histórico,51.505086,-0.187628,51.505086,-0.187628,0,200,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,23,Londres,Cutty Sark,Cutty Sark,Sitio histórico,51.482933,-0.009614,51.482933,-0.009614,0,200,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,24,Londres,Greenwich Observatory,Royal Observatory Greenwich,Sitio histórico,51.477362,-0.000846,51.477362,-0.000846,0,200,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,27,Londres,Covent Garden,Covent Garden,Barrio,51.511736,-0.122677,51.511736,-0.122677,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,28,Londres,Hampton Court Palace,Hampton Court Palace,Sitio histórico,51.403684,-0.337696,51.403684,-0.337696,0,200,londres,review,nominatim/fuentes discrepan 19.1 km,ok
europa_occidental.csv,31,Londres,London Eye,London Eye,Mirador,51.503342,-0.119677,51.503342,-0.119677,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,32,Londres,Hyde Park,Hyde Park,Parque,51.507489,-0.162207,51.507489,-0.162207,0,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,33,Londres,Kensington Gardens,Kensington Gardens,Parque,51.506646,-0.180389,51.506646,-0.180389,0,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,35,Londres,St James's Park,St James's Park,Parque,51.50313,-0.133165,51.503130,-0.133165,0,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,38,Londres,Greenwich Park,Greenwich Park,Parque,51.477235,0.000923,51.477235,0.000923,0,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,39,Londres,Richmond Park,Richmond Park,Parque,51.438512,-0.274735,51.438512,-0.274735,0,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,40,Londres,Victoria Park,Victoria Park,Parque,51.538956,-0.034064,51.538956,-0.034064,0,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,41,Londres,Victoria Embankment Gardens,Victoria Embankment Gardens,Parque,51.508643,-0.121418,51.508643,-0.121418,0,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,43,Londres,Portobello Road Market,Portobello Road Market,Mercado,51.516086,-0.205117,51.516086,-0.205117,0,300,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,47,Londres,Camden Market,Camden Market,Mercado,51.542378,-0.147195,51.542378,-0.147195,0,300,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,51,Londres,Shakespeare's Globe,Shakespeare's Globe,Teatro,51.508121,-0.097186,51.508121,-0.097186,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,52,Londres,Royal Albert Hall,Royal Albert Hall,Música,51.501007,-0.177406,51.501007,-0.177406,0,300,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,54,Londres,South Bank,South Bank,Barrio,51.506532,-0.11342,51.506532,-0.113420,0,1500,londres,high,nominatim/nominatim_free,ok
